Depth,CNR,CNR_std,Contrast,Noise,Nballs
0.33014049381017685,5.308417260134456,1.2469389505623654,63.956701199435805,11.998105153148336,84
0.7094508484005928,5.818499566561495,1.0183306496506803,79.26011451551656,13.684657510451865,45
1.0887612029910088,7.148453763517391,1.2447739539628826,89.08653512025158,12.501004967329242,53
1.4680715575814247,7.87960726465262,2.218011458205435,83.63768999248545,10.870988542182173,48
1.8473819121718407,7.642646765649519,2.2925743320978373,82.24975993723221,11.023791459831767,40
2.2266922667622566,7.763056644969001,3.1134741935656822,71.15500005189087,9.690774922805971,50
2.6060026213526726,9.457876460958833,2.227248780656913,77.07628009959502,8.253499517931251,44
2.9853129759430885,8.5095498176614,2.5855756024714016,74.84520035767721,9.076756167982976,46
3.3646233305335045,9.551819197155478,1.259681709829294,90.28974622054133,9.56330202072973,41
3.7439336851239204,8.843159854749592,1.4920871375941833,84.05278975366073,9.57440721829574,36
4.123244039714336,8.51963121998574,1.3306995752331532,85.99412689624623,10.138353863147733,38
4.502554394304752,7.834638842462419,1.3618506906390617,81.56326298120337,10.474571255248852,31
4.881864748895168,6.973027447975115,1.39478059886721,78.02013161960471,11.274837688636673,43
5.261175103485584,6.067386316922883,0.9197720784085391,74.50569103232425,12.269877271530733,36
5.640485458076,4.939140471151193,0.9670471136867412,64.01014980912856,12.953250214390335,35
6.019795812666416,4.247132559692364,0.7905867260073458,56.16879281983228,13.22969590848676,36
6.399106167256832,4.202684570015349,0.6107950960653344,50.5411675142535,12.010583972719601,32
6.778416521847248,3.896461559337482,0.6443061548755256,44.4099924532507,11.386396721526808,30
7.157726876437664,3.6890889870699675,0.5001130716081353,39.68014181335154,10.75679733926506,26
7.53703723102808,3.28177893929748,0.6804169156336205,33.00980159435999,10.08081716911394,26
7.916347585618496,3.1468819191349233,0.6038823199599382,31.738772307143346,10.090939395084837,20
8.295657940208912,2.9365263049883543,0.49657088258470944,29.856969304728086,10.179689402320573,20
8.674968294799328,2.5233556747091073,0.5972624946885431,24.595304232942524,9.701609133484787,12
9.054278649389744,2.5775721211294824,0.14644338822663727,21.609202866658574,8.386562132530978,5
9.43358900398016,2.460546837284642,0.25253344338193173,18.936835505627407,7.619610273991123,2
9.65836551040411,1.930251307648059,0.5990819784737197,12.365130546220882,6.3855561656930675,6
